"rgn_id","year","area_km2_t","area_km2_t_gf"
1,1985,22.1771185070267,22.1771185070267
2,1985,67.3648017630634,67.3648017630634
3,1985,371.252764157315,371.252764157315
4,1985,21.9818672510843,21.9818672510843
5,1985,144.635115619276,144.635115619276
6,1985,63.9276214062357,63.9276214062357
1,1986,26.488254257576,26.488254257576
2,1986,73.5940183265266,73.5940183265266
3,1986,382.590462704674,382.590462704674
4,1986,21.9818672510843,21.9818672510843
5,1986,144.759012864164,144.759012864164
6,1986,69.040837623352,69.040837623352
1,1987,29.5859623504333,29.5859623504333
2,1987,76.9663631408596,76.9663631408596
3,1987,387.200238663403,387.200238663403
4,1987,21.9818672510843,21.9818672510843
5,1987,144.759015175714,144.759015175714
6,1987,69.0746356417637,69.0746356417637
1,1988,31.1295486353989,31.1295486353989
